Genus_spp,Orientation,current,Habitat_Type,os_ht,median_dens,mean_dens,sd_dens,max_dens,min_dens,cluster,os
Oxyjulis californica,Perpendicular,Down-current,Medium Relief,East Perpendicular Mid_Medium,0,2.0150096474571546,3.7635505444293984,9.369062407172114,0,Group 5,East
Oxyjulis californica,Perpendicular,Up-current,Low Ecotone,West Perpendicular Ecotone_Low,0,3.6458333333333335,5.733899560217869,12.5,0,Group 5,West
Oxyjulis californica,Perpendicular,Up-current,Low Relief,West Perpendicular Mid_Low,0,19.591800981813826,46.51724099453616,114.51230526422289,0,Group 5,West
Oxyjulis californica,Parallel,Up-current,High Ecotone,West Parallel Ecotone_High,0,9.375,28.672078197818486,100,0,Group 6,Offshore
Oxyjulis californica,Parallel,Up-current,High Relief,West Parallel Mid_High,0,0.1870568604771549,0.6479839725015099,2.244682325725859,0,Group 6,Offshore
Oxyjulis californica,Parallel,Up-current,Medium Relief,West Parallel Mid_Medium,0,1.2722539849550794,3.7131473430577593,12.85579750318482,0,Group 6,Offshore
Oxyjulis californica,Perpendicular,Down-current,High Relief,East Perpendicular Mid_High,10.274148428571342,38.44500052166248,70.29962861024515,179.493705685285,0,Group 6,East
Oxyjulis californica,Perpendicular,Up-current,Medium Ecotone,West Perpendicular Ecotone_Medium,0,7.8125,12.143349517328405,25,0,Group 6,West
Oxyjulis californica,Perpendicular,Up-current,Medium Relief,West Perpendicular Mid_Medium,5.129137971119656,7.84240639935644,10.804527091118974,28.941039928826005,0,Group 6,West
Hypsurus caryi,Perpendicular,Up-current,High Relief,West Perpendicular Mid_High,0,0.7343434509611737,1.7987667508093967,4.406060705767042,0,Group 1,West
Hypsurus caryi,Perpendicular,Down-current,High Ecotone,East Perpendicular Ecotone_High,1.5625,2.6041666666666665,3.653266232656288,9.375,0,Group 2,East
Hypsurus caryi,Parallel,Down-current,High Ecotone,East Parallel Ecotone_High,0,0.78125,1.9424423765876908,6.25,0,Group 3,Inshore
Hypsurus caryi,Parallel,Down-current,Low Ecotone,East Parallel Ecotone_Low,0,1.8229166666666667,3.8753512792879548,12.5,0,Group 3,Inshore
Hypsurus caryi,Parallel,Down-current,Medium Ecotone,East Parallel Ecotone_Medium,0,0.78125,1.413334427708267,3.125,0,Group 3,Inshore
Hypsurus caryi,Parallel,Down-current,Medium Relief,East Parallel Mid_Medium,0,0.6660964612610335,1.2118504889147146,2.9463356778944636,0,Group 3,Inshore
Hypsurus caryi,Parallel,Down-current,Low Relief,East Parallel Mid_Low,0,0.5915900567165704,1.4008350754826093,4.091296873887687,0,Group 4,Inshore
